Source Name,Sample Name,Characteristics: Organism,Factor Value: Strain,Characteristics: sex,Characteristics: Material Type,Protocol REF,Comment: plate,Comment: plate well,Protocol REF,Factor Value: Ionizing Radiation,Factor Value: Particle Charge,Factor Value: HZE,Parameter Value: ionizing radiation energy,Parameter Value: linear energy transfer,Parameter Value: absorbed radiation dose rate,Factor Value: Absorbed Radiation Dose,Factor Value: Time of Sample Collection After Treatment,Parameter Value: average fractionated dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation source,Parameter Value: ionizing radiation facility
C57BLF2,C57BLF2_P246_H4_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P246,H4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF3,C57BLF3_P246_G4_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P246,G4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF1,C57BLF1_P270_A6_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P270,A6,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF2,C57BLF2_P270_H4_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P270,H4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF3,C57BLF3_P270_G4_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P270,G4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM1,C57BLM1_P246_G3_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P246,G3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM2,C57BLM2_P246_H3_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P246,H3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM3,C57BLM3_P246_E4_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P246,E4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM1,C57BLM1_P270_G3_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P270,G3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM2,C57BLM2_P270_H3_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P270,H3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM3,C57BLM3_P270_E4_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P270,E4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF1,CBAF1_P246_E2_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P246,E2,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF2,CBAF2_P246_F1_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P246,F1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF3,CBAF3_P246_F2_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P246,F2,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF1,CBAF1_P270_E2_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P270,E2,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF2,CBAF2_P270_F1_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P270,F1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF3,CBAF3_P270_F2_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P270,F2,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM1,CBAM1_P246_E1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P246,E1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM2,CBAM2_P246_C1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P246,C1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM3,CBAM3_P246_D1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P246,D1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM1,CBAM1_P270_E1_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P270,E1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM2,CBAM2_P270_C1_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P270,C1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM3,CBAM3_P270_D1_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P270,D1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
202CC,202CC_P246_D8_CC002_FEMALE_1,Mus musculus,CC002,female,primary cultured fibroblast cell,growth protocol,P246,D8,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
202CC,202CC_P270_D8_CC002_FEMALE_2,Mus musculus,CC002,female,primary cultured fibroblast cell,growth protocol,P270,D8,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
208CC,208CC_P246_G6_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P246,G6,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
247CC,247CC_P246_A1_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P246,A1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
907CC,907CC_P246_B8_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P246,B8,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
208CC,208CC_P270_G6_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P270,G6,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
247CC,247CC_P270_A1_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P270,A1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
907CC,907CC_P270_B8_CC002_MALE_2,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P270,B8,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
254CC,254CC_P246_A7_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P246,A7,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
937CC,937CC_P246_C5_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P246,C5,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
938CC,938CC_P246_E6_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P246,E6,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
254CC,254CC_P270_A7_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P270,A7,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
937CC,937CC_P270_C5_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P270,C5,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
938CC,938CC_P270_E6_CC011_FEMALE_2,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P270,E6,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
251CC,251CC_P246_B7_CC011_MALE_1,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P246,B7,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
934CC,934CC_P246_A10_CC011_MALE_1,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P246,A10,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
251CC,251CC_P270_B7_CC011_MALE_2,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P270,B7,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
934CC,934CC_P270_A10_CC011_MALE_2,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P270,A10,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
226CC,226CC_P246_C4_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P246,C4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
253CC,253CC_P246_A2_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P246,A2,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
942CC,942CC_P246_E5_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P246,E5,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
226CC,226CC_P270_C4_CC013_FEMALE_2,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P270,C4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
253CC,253CC_P270_A2_CC013_FEMALE_2,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P270,A2,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
942CC,942CC_P270_E5_CC013_FEMALE_2,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P270,E5,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
213CC,213CC_P246_E8_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P246,E8,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
235CC,235CC_P246_A3_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P246,A3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
236CC,236CC_P246_B6_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P246,B6,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
213CC,213CC_P270_E8_CC013_MALE_2,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P270,E8,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
235CC,235CC_P270_A3_CC013_MALE_2,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P270,A3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
236CC,236CC_P270_B6_CC013_MALE_2,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P270,B6,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
